Period,Y,C,I,L,K,T_total_revenue,Tc,Tl,Tf
27,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
28,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
29,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
30,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
31,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
32,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
33,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
34,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
35,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
36,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
37,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
38,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
39,0.35863727958105474,0.2625130068424767,0.018806023502817956,0.278303011217655,0.7490033339845412,0.26029376770061646,0.02635758125381953,0.19085226087395055,0.017603147457605217
