Period,Y,C,I,L,K,T_total_revenue,Tc,Tl,Tf
17,0.36080692978596973,0.26490484121766567,0.018948524451382762,0.2793521206804374,0.7490033339845412,0.26186846854345536,0.026517036878832122,0.19200686099638448,0.017709641329444633
18,0.3607996282290544,0.26489679194097443,0.01894804489076784,0.2793485900963665,0.7490033339845412,0.26186316917869945,0.026516500260386044,0.19200297540298822,0.017709282943994018
19,0.36079342190567637,0.2648899500557869,0.018947637264245153,0.2793455890999062,0.7490033339845412,0.2618586647186569,0.026516044134706873,0.19199967264860138,0.01770897831636099
20,0.36078814653080504,0.2648841344533775,0.018947290781700873,0.27934303825291495,0.7490033339845412,0.26185483592762077,0.02651565642787958,0.19199686530737262,0.017708719382872922
21,0.36078366246216437,0.26487919119132947,0.01894699627153823,0.2793408700329724,0.7490033339845412,0.26185158145523996,0.026515326877076376,0.1919944790673281,0.01770849928940806
22,0.3607798510038198,0.2648749894185887,0.018946745937899988,0.27933902704602126,0.7490033339845412,0.26184881515371633,0.026515046758893657,0.19199245076329027,0.017708312209962926
23,0.360776611264227,0.264871417911759,0.01894653315430748,0.2793374605071128,0.7490033339845412,0.26184646379742127,0.026514808658438346,0.19199072670485817,0.017708153192434566
24,0.36077385748557306,0.2648683821309538,0.01894635228825385,0.27933612894904053,0.7490033339845412,0.26184446514457044,0.02651460627305133,0.19198926125519084,0.01770801802753546
25,0.36077151677371716,0.26486580171726937,0.018946198552108263,0.27933499712467913,0.7490033339845412,0.2618427662896472,0.026514434245472365,0.1919880156229736,0.017707903137371216
26,0.3607695271686397,0.26486360836563755,0.018946067876384514,0.279334035073972,0.7490033339845412,0.26184132226296253,0.02651428802203025,0.19198695683558897,0.01770780548073161
27,0.3607678360043239,0.26486174401675056,0.018945956802019326,0.27933321733087085,0.7490033339845412,0.26184009484028054,0.02651416373210445,0.19198605686631207,0.017707722472587947
28,0.3607663985146554,0.2648601593201966,0.01894586238880892,0.27933252224923494,0.7490033339845412,0.2618390515310008,0.02651405808566752,0.19198529189242663,0.017707651915665833
29,0.3607651766484372,0.2648588123281257,0.01894578213758007,0.2793319314298444,0.7490033339845412,0.26183816471811305,0.026513968286196128,0.19198464166462406,0.017707591942282035
30,0.36076413806215174,0.2648576673848655,0.018945713924035552,0.2793314292333624,0.7490033339845412,0.26183741092715845,0.026513891956645445,0.19198408897099184,0.017707540964905805
31,0.3607632552638091,0.26485669418309427,0.01894565594252271,0.2793310023663528,0.7490033339845412,0.2618367702048471,0.026513827076527365,0.1919836191814045,0.017707497634136014
32,0.3607625048852178,0.26485586696158875,0.018945606658236795,0.2793306395293945,0.7490033339845412,0.2618362255908824,0.026513771928426997,0.1919832198602552,0.01770746080298169
